course_title_en,course_title_fr,course_code,offering_id,offering_status,month_en,month_fr,training_hours,stream_en,stream_fr,topic_en,topic_fr,offering_language,offering_region,reg_num,reg_status,no_show,student_id,learner_classif,billing_dept_code,billing_dept_name_en,billing_dept_name_fr,client
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,26,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1122,Confirmed,0,1019,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,23,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1123,Confirmed,0,1020,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,9,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1124,Confirmed,0,1021,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,14,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,1125,Confirmed,0,1022,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,30,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,1126,Confirmed,0,1023,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,43,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,1127,Confirmed,0,180,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,60,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1128,Confirmed,0,524,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,79,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,1129,Confirmed,0,1024,EC-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,1130,Confirmed,0,1025,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,96,Open - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,1131,Confirmed,0,1026,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,96,Open - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,1132,Confirmed,0,1027,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,93,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,1133,Confirmed,0,1028,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,93,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,1134,Confirmed,0,1029,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,93,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,1135,Confirmed,0,1030,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,1,Delivered - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,1136,Confirmed,0,1031,EX-01,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,1,Delivered - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,1137,Confirmed,0,1032,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,1138,Confirmed,0,1033,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,1139,Confirmed,0,1034,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,34,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,1140,Confirmed,0,1035,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,59,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,1141,Confirmed,0,1036,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1142,Confirmed,0,1037,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1143,Confirmed,0,1038,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1144,Confirmed,0,1039,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1145,Confirmed,0,1040,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1146,Confirmed,0,1041,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1147,Confirmed,0,1042,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1148,Confirmed,0,1043,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1149,Confirmed,0,1044,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1150,Confirmed,0,1045,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1151,Confirmed,0,1046,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1152,Confirmed,0,1047,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1153,Confirmed,0,1048,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1154,Confirmed,0,1049,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1155,Confirmed,0,1050,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,97,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1156,Confirmed,0,1051,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,5,Delivered - Normal,April,avril,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,1157,Confirmed,0,1052,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,64,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,French/Français,NCR,1158,Confirmed,0,1053,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,1159,Confirmed,0,1054,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,1160,Confirmed,0,1055,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,81,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,1161,Confirmed,0,1056,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,81,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,1162,Confirmed,0,1017,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,81,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,1163,Confirmed,0,1057,EC-06,CES,Canada School of Public Service,École de la fonction publique du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,48,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Ontario,1164,Confirmed,0,1058,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,48,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Ontario,1165,Cancelled,0,1059,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,42,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Québec,1166,Confirmed,0,1060,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,13,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,1167,Confirmed,0,1061,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,23,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1168,Cancelled,0,499,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,38,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,1169,Confirmed,0,1062,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,44,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,1170,Cancelled,0,1063,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,75,Cancelled - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,1171,Cancelled - Class Cancelled,0,1064,EC-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,75,Cancelled - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,1172,Cancelled - Class Cancelled,0,1065,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,84,Cancelled - Normal,May,mai,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,1173,Cancelled - Class Cancelled,0,1066,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,87,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1174,Confirmed,0,1067,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,87,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1175,Cancelled,0,1068,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,87,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1176,Confirmed,0,1069,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,87,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1177,Confirmed,0,1070,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,98,Open - Normal,February,février,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,Québec,1178,Confirmed,0,1071,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,93,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,1179,Cancelled,0,1072,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1180,Confirmed,0,1073,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1181,Confirmed,0,1074,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1182,Confirmed,0,1075,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1183,Confirmed,0,1076,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1184,Confirmed,0,1077,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1185,Confirmed,0,1078,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1186,Confirmed,0,1079,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1187,Confirmed,0,1080,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1188,Confirmed,0,1081,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1189,Confirmed,0,1082,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1190,Confirmed,0,1083,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1191,Confirmed,0,1084,EC-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,66,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,1192,Confirmed,0,1071,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,35,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,1193,Confirmed,0,1085,AS-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,81,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,1194,Confirmed,0,1086,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,81,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,1195,Confirmed,0,1087,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,1196,Cancelled,0,1088,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,13,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,1197,Cancelled,0,1089,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,1198,Confirmed,0,1090,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,60,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1199,Cancelled,0,367,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,57,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,1200,Cancelled,0,1091,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,82,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,1201,Cancelled,0,1092,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,82,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,1202,Cancelled,1,1093,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,1203,Cancelled,0,1094,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1204,Cancelled,1,1095,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1205,Cancelled,0,1096,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1206,Cancelled,1,1097,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1207,Confirmed,0,1098,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,99,Open - Normal,November,novembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,1208,Cancelled,0,1099,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,100,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,1209,Confirmed,0,1100,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,1210,Cancelled,0,1101,EC-06,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1211,Cancelled,0,1102,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,46,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,1212,Cancelled,0,386,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,46,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,1213,Cancelled,1,1103,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,46,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,1214,Confirmed,0,1104,EX-01,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,46,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,1215,Confirmed,0,1105,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,56,Cancelled - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,1216,Cancelled,0,1106,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,35,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,1217,Cancelled,0,1107,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1218,Confirmed,0,1108,EC-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1219,Confirmed,0,1109,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1220,Confirmed,0,1110,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,1221,Confirmed,0,1111,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,81,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,1222,Confirmed,0,1112,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
